"numero_dpe","date_etablissement_dpe","etiquette_dpe","type_batiment","periode_construction","surface_habitable_logement","classe_inertie_batiment","adresse_ban","code_postal_ban","code_insee_ban","code_region_ban","code_departement_ban","coordonnee_cartographique_x_ban","coordonnee_cartographique_y_ban","deperditions_enveloppe","qualite_isolation_enveloppe","conso_5_usages_ep","conso_5_usages_par_m2_ep","type_energie_n1","cout_total_5_usages","type_energie_principale_chauffage","_score"
"2315E1143425O","2023-04-04","D","maison",NA,150,"Moyenne","19 Rue Jean Cinq Arbres 15000 Aurillac","15000","15014","84","15",655725.57,6424487.95,461.1,"moyenne",33431.6,222,"Gaz naturel",2494.7,"Gaz naturel",NA
"2315E1171637Q","2023-04-06","G","appartement",NA,55,"Légère","62 Rue Tour de Ville 15600 Maurs","15600","15122","84","15",636481.09,6401496.85,282.8,"insuffisante",32865.1,597.5,"Électricité",2343,"Électricité",NA
"2315E1100404X","2023-04-02","D","appartement",NA,64.6,"Lourde","26 Rue Marie Aimée Méraville 15100 Saint-Flour","15100","15187","84","15",707763.44,6437364.84,100.6,"très bonne",13014.7,201,"Électricité",1006.1,"Électricité",NA
"2315E1156606N","2023-04-05","D","maison",NA,62.8,"Légère","2 Rue du Moulin du Teil 15290 Le Rouget-Pers","15290","15268","84","15",639155.48,6417071.36,196,"moyenne",15084,240,"Gaz naturel",1341.2,"Gaz naturel",NA
"2315E1280077K","2023-04-16","D","appartement",NA,74.5,"Légère","9 Avenue du Stade 15600 Maurs","15600","15122","84","15",636778.99,6401151.15,147.6,"moyenne",17405.7,233.6,"Électricité",1285,"Électricité",NA
"2315E1224187U","2023-04-12","E","appartement",NA,77.8,"Lourde","19 Rue Jacques Paul Migne 15100 Saint-Flour","15100","15187","84","15",707114.92,6436896.48,233.9,"insuffisante",24908.3,319,"Électricité",1798.1,"Électricité",NA
"2315E1132935C","2023-04-04","D","appartement",NA,53,"Légère","16 Avenue de la République 15000 Aurillac","15000","15014","84","15",655907.79,6425502.95,106.3,"insuffisante",12548.9,236.7,"Gaz naturel",1159,"Gaz naturel",NA
"2315E1454153Q","2023-04-17","G","appartement",NA,140,"Lourde","64 Route du Volcan 15590 Lascelle","15590","15096","84","15",666552.78,6435963.33,619.8,"insuffisante",51559.4,368.2,"Fioul domestique",4776,"Fioul domestique",NA
"2315E2227189U","2023-04-26","E","maison",NA,86,"Légère","36 rue georges clémenceau 15000 Aurillac","15000","15014","84","15",655437.32,6423356.87,370.4,"insuffisante",26322.6,306,"Gaz naturel",2007,"Gaz naturel",NA
"2315E2307621I","2023-05-01","F","maison",NA,87,"Légère","36 Rue de Lavergne 15300 Murat","15300","15138","84","15",689582.7,6445952.65,260.4,"insuffisante",41595.5,478.1,"Électricité",2588,"Électricité",NA
"2315E4446262T","2023-05-23","D","maison",NA,182,"Moyenne","Saint-Saturnin","15190","15213","84","15",684147.04,6458650.26,309.7,"très bonne",37850.6,207.9,"Électricité",2474,"Électricité",NA
"2315E2884401E","2023-05-16","G","maison",NA,130.5,"Moyenne","1 Rue du Foirail 15400 Trizac","15400","15243","84","15",663923.89,6461586.46,798.3,"insuffisante",94069.3,720.8,"Fioul domestique",6875,"Fioul domestique",NA
